方法,内部 Acc,内部 F1,外部 Acc,外部 F1,Gap (Acc)
SVM 基线,0.981 ± 0.002,0.978 ± 0.008,0.226 ± 0.018,0.092 ± 0.004,+0.755
随机森林,0.955 ± 0.035,0.965 ± 0.023,0.330 ± 0.052,0.284 ± 0.035,+0.626
XGBoost,0.977 ± 0.006,0.976 ± 0.008,0.321 ± 0.020,0.257 ± 0.021,+0.656
软投票（RF + XGB）,0.980 ± 0.007,0.980 ± 0.008,0.327 ± 0.029,0.261 ± 0.026,+0.652
CNN · 无增强,0.987 ± 0.006,0.973 ± 0.015,0.357 ± 0.015,0.266 ± 0.025,+0.630
CNN · 全套增强,0.990 ± 0.005,0.990 ± 0.006,0.377 ± 0.062,0.322 ± 0.065,+0.613
CNN14 · Feature Extraction,0.942 ± 0.022,0.942 ± 0.020,0.769 ± 0.029,0.751 ± 0.029,+0.173
CNN14 · Full Fine-tune,0.149 ± 0.008,0.059 ± 0.007,0.195 ± 0.008,0.071 ± 0.013,-0.046
CNN14 · Layer-wise LR,0.782 ± 0.023,0.740 ± 0.006,0.255 ± 0.034,0.205 ± 0.055,+0.527
AST · Feature Extraction,0.989 ± 0.007,0.990 ± 0.006,0.754 ± 0.034,0.714 ± 0.045,+0.236
AST · LoRA (best val),0.989 ± 0.010,0.990 ± 0.010,0.833 ± 0.010,0.818 ± 0.011,+0.156
AST · Full Fine-tune (best val),0.990 ± 0.011,0.991 ± 0.010,0.880 ± 0.015,0.873 ± 0.020,+0.111
"CLAP · zero-shot (descriptive, split 0)",0.642,0.529,0.538,0.422,+0.104
