case_id,model_id,stem,path,sample_rate
musdb_al_james_schoolboy_facination,demucs_htdemucs_6stem,bass,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/demucs_htdemucs_6stem/htdemucs_6s/input/bass.wav,44100
musdb_al_james_schoolboy_facination,demucs_htdemucs_6stem,drums,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/demucs_htdemucs_6stem/htdemucs_6s/input/drums.wav,44100
musdb_al_james_schoolboy_facination,demucs_htdemucs_6stem,guitar,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/demucs_htdemucs_6stem/htdemucs_6s/input/guitar.wav,44100
musdb_al_james_schoolboy_facination,demucs_htdemucs_6stem,other,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/demucs_htdemucs_6stem/htdemucs_6s/input/other.wav,44100
musdb_al_james_schoolboy_facination,demucs_htdemucs_6stem,piano,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/demucs_htdemucs_6stem/htdemucs_6s/input/piano.wav,44100
musdb_al_james_schoolboy_facination,demucs_htdemucs_6stem,vocals,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/demucs_htdemucs_6stem/htdemucs_6s/input/vocals.wav,44100
musdb_al_james_schoolboy_facination,demucs_htdemucs_ft_2stem,accompaniment,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/demucs_htdemucs_ft_2stem/htdemucs_ft/input/no_vocals.wav,44100
musdb_al_james_schoolboy_facination,demucs_htdemucs_ft_2stem,vocals,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/demucs_htdemucs_ft_2stem/htdemucs_ft/input/vocals.wav,44100
musdb_al_james_schoolboy_facination,demucs_htdemucs_ft_4stem,bass,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/demucs_htdemucs_ft_4stem/htdemucs_ft/input/bass.wav,44100
musdb_al_james_schoolboy_facination,demucs_htdemucs_ft_4stem,drums,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/demucs_htdemucs_ft_4stem/htdemucs_ft/input/drums.wav,44100
musdb_al_james_schoolboy_facination,demucs_htdemucs_ft_4stem,other,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/demucs_htdemucs_ft_4stem/htdemucs_ft/input/other.wav,44100
musdb_al_james_schoolboy_facination,demucs_htdemucs_ft_4stem,vocals,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/demucs_htdemucs_ft_4stem/htdemucs_ft/input/vocals.wav,44100
musdb_al_james_schoolboy_facination,demucs_mdx_extra_q_4stem,bass,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/demucs_mdx_extra_q_4stem/mdx_extra_q/input/bass.wav,44100
musdb_al_james_schoolboy_facination,demucs_mdx_extra_q_4stem,drums,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/demucs_mdx_extra_q_4stem/mdx_extra_q/input/drums.wav,44100
musdb_al_james_schoolboy_facination,demucs_mdx_extra_q_4stem,other,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/demucs_mdx_extra_q_4stem/mdx_extra_q/input/other.wav,44100
musdb_al_james_schoolboy_facination,demucs_mdx_extra_q_4stem,vocals,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/demucs_mdx_extra_q_4stem/mdx_extra_q/input/vocals.wav,44100
musdb_al_james_schoolboy_facination,openunmix_umxhq_4stem,bass,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/openunmix_umxhq_4stem/input/bass.wav,44100
musdb_al_james_schoolboy_facination,openunmix_umxhq_4stem,drums,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/openunmix_umxhq_4stem/input/drums.wav,44100
