track,model,stem,sdr,si_sdr,case_id,model_display_name,mode,task,reference_type,duration_sec,estimate_stems
AM Contra - Heart Peripheral,mixture_baseline,vocals,-4.205612933955877,-4.215319619299514,musdb_am_contra_heart_peripheral,Mixture baseline,musdb_4stem,musdb_4stem,musdb18hq_from_07_4,20.0,mixture
AM Contra - Heart Peripheral,mixture_baseline,drums,-2.285751388888653,-2.312142415113785,musdb_am_contra_heart_peripheral,Mixture baseline,musdb_4stem,musdb_4stem,musdb18hq_from_07_4,20.0,mixture
AM Contra - Heart Peripheral,mixture_baseline,bass,-5.071682464386362,-5.103246795855786,musdb_am_contra_heart_peripheral,Mixture baseline,musdb_4stem,musdb_4stem,musdb18hq_from_07_4,20.0,mixture
AM Contra - Heart Peripheral,mixture_baseline,other,-7.823875973429299,-7.916330111719906,musdb_am_contra_heart_peripheral,Mixture baseline,musdb_4stem,musdb_4stem,musdb18hq_from_07_4,20.0,mixture
AM Contra - Heart Peripheral,oracle_irm_mixture_phase,vocals,14.393568572000799,13.9400317449963,musdb_am_contra_heart_peripheral,Oracle IRM (mixture phase),musdb_4stem,musdb_4stem,musdb18hq_from_07_4,20.0,vocals
AM Contra - Heart Peripheral,oracle_irm_mixture_phase,drums,6.082214987190968,5.9063936059936,musdb_am_contra_heart_peripheral,Oracle IRM (mixture phase),musdb_4stem,musdb_4stem,musdb18hq_from_07_4,20.0,drums
AM Contra - Heart Peripheral,oracle_irm_mixture_phase,bass,3.550617805085712,3.452569042985135,musdb_am_contra_heart_peripheral,Oracle IRM (mixture phase),musdb_4stem,musdb_4stem,musdb18hq_from_07_4,20.0,bass
AM Contra - Heart Peripheral,oracle_irm_mixture_phase,other,2.271912274293863,1.946283769997816,musdb_am_contra_heart_peripheral,Oracle IRM (mixture phase),musdb_4stem,musdb_4stem,musdb18hq_from_07_4,20.0,other
AM Contra - Heart Peripheral,mixture_baseline,vocals,-4.205612933955877,-4.215319619299514,musdb_am_contra_heart_peripheral,Mixture baseline,vocals_accompaniment_2stem,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,mixture
AM Contra - Heart Peripheral,mixture_baseline,accompaniment,4.21658925431758,4.2039252805644525,musdb_am_contra_heart_peripheral,Mixture baseline,vocals_accompaniment_2stem,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,mixture
AM Contra - Heart Peripheral,oracle_irm_mixture_phase,vocals,14.524815265832768,14.177532364898031,musdb_am_contra_heart_peripheral,Oracle IRM (mixture phase),vocals_accompaniment_2stem,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,vocals
AM Contra - Heart Peripheral,oracle_irm_mixture_phase,accompaniment,18.739279207774572,18.060652243816534,musdb_am_contra_heart_peripheral,Oracle IRM (mixture phase),vocals_accompaniment_2stem,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,accompaniment
Al James - Schoolboy Facination,mixture_baseline,vocals,0.6631037812101181,0.6361869782676051,musdb_al_james_schoolboy_facination,Mixture baseline,musdb_4stem,musdb_4stem,musdb18hq_from_07_4,20.0,mixture
Al James - Schoolboy Facination,mixture_baseline,drums,-8.365141278421284,-8.40596383120393,musdb_al_james_schoolboy_facination,Mixture baseline,musdb_4stem,musdb_4stem,musdb18hq_from_07_4,20.0,mixture
Al James - Schoolboy Facination,mixture_baseline,bass,-4.8310451081393175,-4.885464366950079,musdb_al_james_schoolboy_facination,Mixture baseline,musdb_4stem,musdb_4stem,musdb18hq_from_07_4,20.0,mixture
Al James - Schoolboy Facination,mixture_baseline,other,-9.165727682721707,-9.561346437392556,musdb_al_james_schoolboy_facination,Mixture baseline,musdb_4stem,musdb_4stem,musdb18hq_from_07_4,20.0,mixture
Al James - Schoolboy Facination,oracle_irm_mixture_phase,vocals,10.747513903776497,10.156248470507165,musdb_al_james_schoolboy_facination,Oracle IRM (mixture phase),musdb_4stem,musdb_4stem,musdb18hq_from_07_4,20.0,vocals
Al James - Schoolboy Facination,oracle_irm_mixture_phase,drums,4.901965531343383,4.69913763085774,musdb_al_james_schoolboy_facination,Oracle IRM (mixture phase),musdb_4stem,musdb_4stem,musdb18hq_from_07_4,20.0,drums
Al James - Schoolboy Facination,oracle_irm_mixture_phase,bass,8.184480047883477,7.373130566981007,musdb_al_james_schoolboy_facination,Oracle IRM (mixture phase),musdb_4stem,musdb_4stem,musdb18hq_from_07_4,20.0,bass
Al James - Schoolboy Facination,oracle_irm_mixture_phase,other,1.6229085099230087,1.0317108762372371,musdb_al_james_schoolboy_facination,Oracle IRM (mixture phase),musdb_4stem,musdb_4stem,musdb18hq_from_07_4,20.0,other
Al James - Schoolboy Facination,mixture_baseline,vocals,0.6631037812101181,0.6361869782676051,musdb_al_james_schoolboy_facination,Mixture baseline,vocals_accompaniment_2stem,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,mixture
Al James - Schoolboy Facination,mixture_baseline,accompaniment,-0.4938594219621991,-0.5284791133304535,musdb_al_james_schoolboy_facination,Mixture baseline,vocals_accompaniment_2stem,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,mixture
Al James - Schoolboy Facination,oracle_irm_mixture_phase,vocals,10.789928699717478,10.382886748007664,musdb_al_james_schoolboy_facination,Oracle IRM (mixture phase),vocals_accompaniment_2stem,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,vocals
Al James - Schoolboy Facination,oracle_irm_mixture_phase,accompaniment,10.09761400721567,9.458887428193732,musdb_al_james_schoolboy_facination,Oracle IRM (mixture phase),vocals_accompaniment_2stem,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,accompaniment
AM Contra - Heart Peripheral,demucs_htdemucs_6stem,vocals,12.13660635308182,11.588959117267617,musdb_am_contra_heart_peripheral,Demucs htdemucs_6s 6-stem,6stems,musdb_4stem,musdb18hq_from_07_4,20.0,vocals
AM Contra - Heart Peripheral,demucs_htdemucs_6stem,drums,6.489125105021878,6.186356312991261,musdb_am_contra_heart_peripheral,Demucs htdemucs_6s 6-stem,6stems,musdb_4stem,musdb18hq_from_07_4,20.0,drums
AM Contra - Heart Peripheral,demucs_htdemucs_6stem,bass,1.2490893222602548,0.8147259246326105,musdb_am_contra_heart_peripheral,Demucs htdemucs_6s 6-stem,6stems,musdb_4stem,musdb18hq_from_07_4,20.0,bass
AM Contra - Heart Peripheral,demucs_htdemucs_6stem,other,-1.3938615169097022,-11.757376537548321,musdb_am_contra_heart_peripheral,Demucs htdemucs_6s 6-stem,6stems,musdb_4stem,musdb18hq_from_07_4,20.0,other;guitar;piano
AM Contra - Heart Peripheral,demucs_htdemucs_6stem,vocals,12.13660635308182,11.588959117267617,musdb_am_contra_heart_peripheral,Demucs htdemucs_6s 6-stem,6stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,vocals
AM Contra - Heart Peripheral,demucs_htdemucs_6stem,accompaniment,16.50582733557927,15.376011752658874,musdb_am_contra_heart_peripheral,Demucs htdemucs_6s 6-stem,6stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,drums;bass;other;guitar;piano
