task,model,model_display_name,mode,stem,n,mean_sdr,median_sdr,min_sdr,max_sdr,mean_si_sdr,median_si_sdr,min_si_sdr,max_si_sdr
musdb_4stem,demucs_htdemucs_6stem,Demucs htdemucs_6s 6-stem,6stems,bass,2,7.146628609512659,7.146628609512659,1.2490893222602548,13.044167896765062,6.5077055722380726,6.5077055722380726,0.8147259246326105,12.200685219843535
musdb_4stem,demucs_htdemucs_6stem,Demucs htdemucs_6s 6-stem,6stems,drums,2,6.6147391954766235,6.6147391954766235,6.489125105021878,6.74035328593137,5.911526306578207,5.911526306578207,5.636696300165152,6.186356312991261
musdb_4stem,demucs_htdemucs_6stem,Demucs htdemucs_6s 6-stem,6stems,other,2,-2.021502926059956,-2.021502926059956,-2.6491443352102104,-1.3938615169097022,-7.380486703437508,-7.380486703437508,-11.757376537548321,-3.003596869326694
musdb_4stem,demucs_htdemucs_6stem,Demucs htdemucs_6s 6-stem,6stems,vocals,2,10.08191074121185,10.08191074121185,8.027215129341881,12.13660635308182,9.4734331890801,9.4734331890801,7.357907260892581,11.588959117267617
musdb_4stem,demucs_htdemucs_ft_4stem,Demucs htdemucs_ft 4-stem,4stems,bass,2,7.342296791040653,7.342296791040653,1.1096872887416933,13.574906293339613,6.756599512687917,6.756599512687917,0.8561968371247776,12.657002188251056
musdb_4stem,demucs_htdemucs_ft_4stem,Demucs htdemucs_ft 4-stem,4stems,drums,2,6.893302474946836,6.893302474946836,6.804340145385571,6.9822648045081,6.06903014166662,6.06903014166662,5.874698685442626,6.263361597890615
musdb_4stem,demucs_htdemucs_ft_4stem,Demucs htdemucs_ft 4-stem,4stems,other,2,-2.8933057739100296,-2.8933057739100296,-4.132001607115043,-1.6546099407050159,-5.1432484554736995,-5.1432484554736995,-8.0456489470479,-2.2408479638995003
musdb_4stem,demucs_htdemucs_ft_4stem,Demucs htdemucs_ft 4-stem,4stems,vocals,2,9.822955607122365,9.822955607122365,7.707253198776814,11.938658015467915,9.181677059458545,9.181677059458545,6.86762919133577,11.495724927581321
musdb_4stem,demucs_mdx_extra_q_4stem,Demucs mdx_extra_q 4-stem,4stems,bass,2,10.367044157676595,10.367044157676595,6.5166261347936505,14.21746218055954,10.076498625355496,10.076498625355496,6.259413983073249,13.893583267637744
musdb_4stem,demucs_mdx_extra_q_4stem,Demucs mdx_extra_q 4-stem,4stems,drums,2,8.808842584707167,8.808842584707167,7.048597262576011,10.569087906838321,8.06236637234564,8.06236637234564,5.967938196641791,10.15679454804949
musdb_4stem,demucs_mdx_extra_q_4stem,Demucs mdx_extra_q 4-stem,4stems,other,2,1.7049400419771783,1.7049400419771783,0.9993373334163242,2.410542750538032,1.0378660031218716,1.0378660031218716,0.30552197641111806,1.770210029832625
musdb_4stem,demucs_mdx_extra_q_4stem,Demucs mdx_extra_q 4-stem,4stems,vocals,2,11.160415498036542,11.160415498036542,9.508183409018995,12.812647587054087,10.793465950355934,10.793465950355934,9.252283523225602,12.334648377486268
musdb_4stem,mixture_baseline,Mixture baseline,musdb_4stem,bass,2,-4.95136378626284,-4.95136378626284,-5.071682464386362,-4.8310451081393175,-4.994355581402933,-4.994355581402933,-5.103246795855786,-4.885464366950079
musdb_4stem,mixture_baseline,Mixture baseline,musdb_4stem,drums,2,-5.325446333654968,-5.325446333654968,-8.365141278421284,-2.285751388888653,-5.359053123158858,-5.359053123158858,-8.40596383120393,-2.312142415113785
musdb_4stem,mixture_baseline,Mixture baseline,musdb_4stem,other,2,-8.494801828075502,-8.494801828075502,-9.165727682721707,-7.823875973429299,-8.738838274556231,-8.738838274556231,-9.561346437392556,-7.916330111719906
musdb_4stem,mixture_baseline,Mixture baseline,musdb_4stem,vocals,2,-1.7712545763728795,-1.7712545763728795,-4.205612933955877,0.6631037812101181,-1.7895663205159544,-1.7895663205159544,-4.215319619299514,0.6361869782676051
musdb_4stem,openunmix_umxhq_4stem,Open-Unmix umxhq 4-stem,4stems,bass,2,3.589783422091255,3.589783422091255,-0.7610137258235782,7.940580570006088,2.062256887869112,2.062256887869112,-1.156633324818822,5.281147100557046
musdb_4stem,openunmix_umxhq_4stem,Open-Unmix umxhq 4-stem,4stems,drums,2,2.888645733622913,2.888645733622913,2.8035134437437637,2.9737780235020623,2.2382027082375036,2.2382027082375036,2.0379344162701445,2.438471000204862
musdb_4stem,openunmix_umxhq_4stem,Open-Unmix umxhq 4-stem,4stems,other,2,-5.588410164329597,-5.588410164329597,-7.3967606086150495,-3.780059720044145,-8.866379037814918,-8.866379037814918,-13.421659354529647,-4.31109872110019
musdb_4stem,openunmix_umxhq_4stem,Open-Unmix umxhq 4-stem,4stems,vocals,2,7.930191028225882,7.930191028225882,6.720569258919966,9.139812797531798,6.65458410747077,6.65458410747077,5.444622119223732,7.864546095717807
musdb_4stem,oracle_irm_mixture_phase,Oracle IRM (mixture phase),musdb_4stem,bass,2,5.867548926484595,5.867548926484595,3.550617805085712,8.184480047883477,5.412849804983071,5.412849804983071,3.452569042985135,7.373130566981007
musdb_4stem,oracle_irm_mixture_phase,Oracle IRM (mixture phase),musdb_4stem,drums,2,5.492090259267176,5.492090259267176,4.901965531343383,6.082214987190968,5.30276561842567,5.30276561842567,4.69913763085774,5.9063936059936
musdb_4stem,oracle_irm_mixture_phase,Oracle IRM (mixture phase),musdb_4stem,other,2,1.947410392108436,1.947410392108436,1.6229085099230087,2.271912274293863,1.4889973231175264,1.4889973231175264,1.0317108762372371,1.946283769997816
musdb_4stem,oracle_irm_mixture_phase,Oracle IRM (mixture phase),musdb_4stem,vocals,2,12.570541237888648,12.570541237888648,10.747513903776497,14.393568572000799,12.048140107751733,12.048140107751733,10.156248470507165,13.9400317449963
musdb_4stem,torchaudio_hdemucs_high_musdb_plus,Torchaudio HDemucs High MUSDB+,4stems,bass,2,9.085704228246271,9.085704228246271,3.690932306049854,14.480476150442687,8.829429951566285,8.829429951566285,3.5127158255950914,14.146144077537478
musdb_4stem,torchaudio_hdemucs_high_musdb_plus,Torchaudio HDemucs High MUSDB+,4stems,drums,2,7.929295758154412,7.929295758154412,6.6409008712252735,9.21769064508355,7.338643968020046,7.338643968020046,5.744255230340843,8.933032705699247
musdb_4stem,torchaudio_hdemucs_high_musdb_plus,Torchaudio HDemucs High MUSDB+,4stems,other,2,0.35908790181454414,0.35908790181454414,0.007198581798407218,0.710977221830681,-0.15353257456879194,-0.15353257456879194,-0.6511762552332244,0.34411110609564055
musdb_4stem,torchaudio_hdemucs_high_musdb_plus,Torchaudio HDemucs High MUSDB+,4stems,vocals,2,10.724955285735522,10.724955285735522,8.987917648243801,12.46199292322724,10.339288134242956,10.339288134242956,8.701187707690673,11.97738856079524
vocals_accompaniment_2stem,demucs_htdemucs_6stem,Demucs htdemucs_6s 6-stem,6stems,accompaniment,2,11.865007694815127,11.865007694815127,7.224188054050984,16.50582733557927,11.05673208571874,11.05673208571874,6.737452418778608,15.376011752658874
vocals_accompaniment_2stem,demucs_htdemucs_6stem,Demucs htdemucs_6s 6-stem,6stems,vocals,2,10.08191074121185,10.08191074121185,8.027215129341881,12.13660635308182,9.4734331890801,9.4734331890801,7.357907260892581,11.588959117267617
vocals_accompaniment_2stem,demucs_htdemucs_ft_2stem,Demucs htdemucs_ft 2-stem,2stems,accompaniment,2,10.890086354107122,10.890086354107122,7.164254750656285,14.615917957557958,10.30948779385955,10.30948779385955,6.69145138183059,13.927524205888508
vocals_accompaniment_2stem,demucs_htdemucs_ft_2stem,Demucs htdemucs_ft 2-stem,2stems,vocals,2,9.69542163962126,9.69542163962126,7.508260320082375,11.882582959160146,9.049014322629377,9.049014322629377,6.652936041860532,11.445092603398221
vocals_accompaniment_2stem,demucs_htdemucs_ft_4stem,Demucs htdemucs_ft 4-stem,4stems,accompaniment,2,10.926213503193377,10.926213503193377,7.1359242629175315,14.716502743469222,10.341305456866383,10.341305456866383,6.673430730560726,14.009180183172038
vocals_accompaniment_2stem,demucs_htdemucs_ft_4stem,Demucs htdemucs_ft 4-stem,4stems,vocals,2,9.822955607122365,9.822955607122365,7.707253198776814,11.938658015467915,9.181677059458545,9.181677059458545,6.86762919133577,11.495724927581321
vocals_accompaniment_2stem,demucs_mdx_extra_q_4stem,Demucs mdx_extra_q 4-stem,4stems,accompaniment,2,13.629105213068975,13.629105213068975,9.650512750026156,17.607697676111794,12.57715301922655,12.57715301922655,8.577163914706707,16.577142123746395
vocals_accompaniment_2stem,demucs_mdx_extra_q_4stem,Demucs mdx_extra_q 4-stem,4stems,vocals,2,11.160415498036542,11.160415498036542,9.508183409018995,12.812647587054087,10.793465950355934,10.793465950355934,9.252283523225602,12.334648377486268
vocals_accompaniment_2stem,mixture_baseline,Mixture baseline,vocals_accompaniment_2stem,accompaniment,2,1.8613649161776906,1.8613649161776906,-0.4938594219621991,4.21658925431758,1.8377230836169995,1.8377230836169995,-0.5284791133304535,4.2039252805644525
vocals_accompaniment_2stem,mixture_baseline,Mixture baseline,vocals_accompaniment_2stem,vocals,2,-1.7712545763728795,-1.7712545763728795,-4.205612933955877,0.6631037812101181,-1.7895663205159544,-1.7895663205159544,-4.215319619299514,0.6361869782676051
vocals_accompaniment_2stem,openunmix_umxhq_4stem,Open-Unmix umxhq 4-stem,4stems,accompaniment,2,9.307623837628865,9.307623837628865,5.535244735207422,13.08000294005031,8.88212652387704,8.88212652387704,5.126217411497251,12.638035636256832
vocals_accompaniment_2stem,openunmix_umxhq_4stem,Open-Unmix umxhq 4-stem,4stems,vocals,2,7.930191028225882,7.930191028225882,6.720569258919966,9.139812797531798,6.65458410747077,6.65458410747077,5.444622119223732,7.864546095717807
vocals_accompaniment_2stem,oracle_irm_mixture_phase,Oracle IRM (mixture phase),vocals_accompaniment_2stem,accompaniment,2,14.41844660749512,14.41844660749512,10.09761400721567,18.739279207774572,13.759769836005134,13.759769836005134,9.458887428193732,18.060652243816534
