case_id,model,mode,stem,reference_type,expected_present,expected_absent,expected_uncertain,rms_db,energy_ratio,absent_energy_ratio,known_present_energy_ratio,reconstruction_error,notes
xiaohetang_author,owned_reference,owned_stems,bass,owned_project_stems,vocals;piano;bass;drums;synths;accompaniment,guitar,,-19.10695001151939,0.6732741646430196,,0.6732741646430196,7.1490625861401e-05,piano includes synth piano and real sampled piano; bass combines real and synthetic timbres; drums include some SFX. Accompaniment is derived as mixture minus vocals when no exported accompaniment stem is present.
xiaohetang_author,owned_reference,owned_stems,drums,owned_project_stems,vocals;piano;bass;drums;synths;accompaniment,guitar,,-27.105938576248864,0.1067316180180032,,0.1067316180180032,7.1490625861401e-05,piano includes synth piano and real sampled piano; bass combines real and synthetic timbres; drums include some SFX. Accompaniment is derived as mixture minus vocals when no exported accompaniment stem is present.
xiaohetang_author,owned_reference,owned_stems,piano,owned_project_stems,vocals;piano;bass;drums;synths;accompaniment,guitar,,-24.805533658584572,0.18127319316999077,,0.18127319316999077,7.1490625861401e-05,piano includes synth piano and real sampled piano; bass combines real and synthetic timbres; drums include some SFX. Accompaniment is derived as mixture minus vocals when no exported accompaniment stem is present.
xiaohetang_author,owned_reference,owned_stems,synths,owned_project_stems,vocals;piano;bass;drums;synths;accompaniment,guitar,,-42.49660611603134,0.0030847952193044778,,0.0030847952193044778,7.1490625861401e-05,piano includes synth piano and real sampled piano; bass combines real and synthetic timbres; drums include some SFX. Accompaniment is derived as mixture minus vocals when no exported accompaniment stem is present.
xiaohetang_author,owned_reference,owned_stems,vocals,owned_project_stems,vocals;piano;bass;drums;synths;accompaniment,guitar,,-28.552377742286726,0.07649784072033641,,0.07649784072033641,7.1490625861401e-05,piano includes synth piano and real sampled piano; bass combines real and synthetic timbres; drums include some SFX. Accompaniment is derived as mixture minus vocals when no exported accompaniment stem is present.
xiaohetang_author,owned_reference,owned_2stem_derived,accompaniment,owned_2stem_derived,vocals;accompaniment,guitar,,-17.72563764462133,0.9253865573503784,,0.9253865573503784,2.4879714197172194e-08,piano includes synth piano and real sampled piano; bass combines real and synthetic timbres; drums include some SFX. Accompaniment is derived as mixture minus vocals when no exported accompaniment stem is present. Derived accompaniment = mixture - vocals.
xiaohetang_author,owned_reference,owned_2stem_derived,vocals,owned_2stem_derived,vocals;accompaniment,guitar,,-28.552377742286726,0.07649784072033641,,0.07649784072033641,2.4879714197172194e-08,piano includes synth piano and real sampled piano; bass combines real and synthetic timbres; drums include some SFX. Accompaniment is derived as mixture minus vocals when no exported accompaniment stem is present. Derived accompaniment = mixture - vocals.
xiaohetang_author,demucs_htdemucs_6stem,6stems,bass,model_output_no_reference,vocals;piano;bass;drums;synths;accompaniment,guitar,,-19.14520761410498,0.6673692460592174,,0.6673692460592174,0.11341147943036839,piano includes synth piano and real sampled piano; bass combines real and synthetic timbres; drums include some SFX. Accompaniment is derived as mixture minus vocals when no exported accompaniment stem is present.
xiaohetang_author,demucs_htdemucs_6stem,6stems,drums,model_output_no_reference,vocals;piano;bass;drums;synths;accompaniment,guitar,,-28.53788359552623,0.07675357116200208,,0.07675357116200208,0.11341147943036839,piano includes synth piano and real sampled piano; bass combines real and synthetic timbres; drums include some SFX. Accompaniment is derived as mixture minus vocals when no exported accompaniment stem is present.
xiaohetang_author,demucs_htdemucs_6stem,6stems,guitar,model_output_no_reference,vocals;piano;bass;drums;synths;accompaniment,guitar,,-31.151240601413154,0.042049698935798484,0.042049698935798484,,0.11341147943036839,piano includes synth piano and real sampled piano; bass combines real and synthetic timbres; drums include some SFX. Accompaniment is derived as mixture minus vocals when no exported accompaniment stem is present.
xiaohetang_author,demucs_htdemucs_6stem,6stems,other,model_output_no_reference,vocals;piano;bass;drums;synths;accompaniment,guitar,,-42.071502786306645,0.0034020185093590516,,,0.11341147943036839,piano includes synth piano and real sampled piano; bass combines real and synthetic timbres; drums include some SFX. Accompaniment is derived as mixture minus vocals when no exported accompaniment stem is present.
xiaohetang_author,demucs_htdemucs_6stem,6stems,piano,model_output_no_reference,vocals;piano;bass;drums;synths;accompaniment,guitar,,-31.34529119158467,0.0402121997960341,,0.0402121997960341,0.11341147943036839,piano includes synth piano and real sampled piano; bass combines real and synthetic timbres; drums include some SFX. Accompaniment is derived as mixture minus vocals when no exported accompaniment stem is present.
xiaohetang_author,demucs_htdemucs_6stem,6stems,vocals,model_output_no_reference,vocals;piano;bass;drums;synths;accompaniment,guitar,,-29.165862875159497,0.06642027407811431,,0.06642027407811431,0.11341147943036839,piano includes synth piano and real sampled piano; bass combines real and synthetic timbres; drums include some SFX. Accompaniment is derived as mixture minus vocals when no exported accompaniment stem is present.
xiaohetang_author,demucs_htdemucs_ft_2stem,2stems,accompaniment,model_output_no_reference,vocals;piano;bass;drums;synths;accompaniment,guitar,,-17.998311189435544,0.8690721481001826,,0.8690721481001826,0.18335713846844173,piano includes synth piano and real sampled piano; bass combines real and synthetic timbres; drums include some SFX. Accompaniment is derived as mixture minus vocals when no exported accompaniment stem is present.
xiaohetang_author,demucs_htdemucs_ft_2stem,2stems,vocals,model_output_no_reference,vocals;piano;bass;drums;synths;accompaniment,guitar,,-29.315885385795966,0.06416503157057996,,0.06416503157057996,0.18335713846844173,piano includes synth piano and real sampled piano; bass combines real and synthetic timbres; drums include some SFX. Accompaniment is derived as mixture minus vocals when no exported accompaniment stem is present.
xiaohetang_author,demucs_htdemucs_ft_4stem,4stems,bass,model_output_no_reference,vocals;piano;bass;drums;synths;accompaniment,guitar,,-19.29547386852719,0.6446731223561194,,0.6446731223561194,0.18170305685517796,piano includes synth piano and real sampled piano; bass combines real and synthetic timbres; drums include some SFX. Accompaniment is derived as mixture minus vocals when no exported accompaniment stem is present.
xiaohetang_author,demucs_htdemucs_ft_4stem,4stems,drums,model_output_no_reference,vocals;piano;bass;drums;synths;accompaniment,guitar,,-30.53596792115915,0.048449595858799474,,0.048449595858799474,0.18170305685517796,piano includes synth piano and real sampled piano; bass combines real and synthetic timbres; drums include some SFX. Accompaniment is derived as mixture minus vocals when no exported accompaniment stem is present.
xiaohetang_author,demucs_htdemucs_ft_4stem,4stems,other,model_output_no_reference,vocals;piano;bass;drums;synths;accompaniment,guitar,,-25.492910467106917,0.15473761694250274,,,0.18170305685517796,piano includes synth piano and real sampled piano; bass combines real and synthetic timbres; drums include some SFX. Accompaniment is derived as mixture minus vocals when no exported accompaniment stem is present.
xiaohetang_author,demucs_htdemucs_ft_4stem,4stems,vocals,model_output_no_reference,vocals;piano;bass;drums;synths;accompaniment,guitar,,-29.328399391690127,0.06398040895213296,,0.06398040895213296,0.18170305685517796,piano includes synth piano and real sampled piano; bass combines real and synthetic timbres; drums include some SFX. Accompaniment is derived as mixture minus vocals when no exported accompaniment stem is present.
xiaohetang_author,demucs_mdx_extra_q_4stem,4stems,bass,model_output_no_reference,vocals;piano;bass;drums;synths;accompaniment,guitar,,-19.609446776647538,0.5997113568253581,,0.5997113568253581,0.014732054172478666,piano includes synth piano and real sampled piano; bass combines real and synthetic timbres; drums include some SFX. Accompaniment is derived as mixture minus vocals when no exported accompaniment stem is present.
xiaohetang_author,demucs_mdx_extra_q_4stem,4stems,drums,model_output_no_reference,vocals;piano;bass;drums;synths;accompaniment,guitar,,-31.55581586135859,0.03830940128645955,,0.03830940128645955,0.014732054172478666,piano includes synth piano and real sampled piano; bass combines real and synthetic timbres; drums include some SFX. Accompaniment is derived as mixture minus vocals when no exported accompaniment stem is present.
xiaohetang_author,demucs_mdx_extra_q_4stem,4stems,other,model_output_no_reference,vocals;piano;bass;drums;synths;accompaniment,guitar,,-26.029566696379888,0.13675092770723882,,,0.014732054172478666,piano includes synth piano and real sampled piano; bass combines real and synthetic timbres; drums include some SFX. Accompaniment is derived as mixture minus vocals when no exported accompaniment stem is present.
xiaohetang_author,demucs_mdx_extra_q_4stem,4stems,vocals,model_output_no_reference,vocals;piano;bass;drums;synths;accompaniment,guitar,,-30.201115681266003,0.05233297002665363,,0.05233297002665363,0.014732054172478666,piano includes synth piano and real sampled piano; bass combines real and synthetic timbres; drums include some SFX. Accompaniment is derived as mixture minus vocals when no exported accompaniment stem is present.
xiaohetang_author,openunmix_umxhq_4stem,4stems,bass,model_output_no_reference,vocals;piano;bass;drums;synths;accompaniment,guitar,,-19.19222824458857,0.6601826800993497,,0.6601826800993497,0.10901875744440241,piano includes synth piano and real sampled piano; bass combines real and synthetic timbres; drums include some SFX. Accompaniment is derived as mixture minus vocals when no exported accompaniment stem is present.
