track_id,path,genre_top,split,subset,duration_sec,license_status,notes
2,../../datasets/FMA_small/fma_small/fma_small/000/000002.mp3,Hip-Hop,training,small,168,Attribution-NonCommercial-ShareAlike 3.0 International,
5,../../datasets/FMA_small/fma_small/fma_small/000/000005.mp3,Hip-Hop,training,small,206,Attribution-NonCommercial-ShareAlike 3.0 International,
10,../../datasets/FMA_small/fma_small/fma_small/000/000010.mp3,Pop,training,small,161,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,
140,../../datasets/FMA_small/fma_small/fma_small/000/000140.mp3,Folk,training,small,253,Attribution-Noncommercial-No Derivative Works 3.0 United States,
141,../../datasets/FMA_small/fma_small/fma_small/000/000141.mp3,Folk,training,small,182,Attribution-Noncommercial-No Derivative Works 3.0 United States,
148,../../datasets/FMA_small/fma_small/fma_small/000/000148.mp3,Experimental,validation,small,138,Attribution-Noncommercial-Share Alike 3.0 United States,
182,../../datasets/FMA_small/fma_small/fma_small/000/000182.mp3,Rock,test,small,228,Attribution-Noncommercial-No Derivative Works 3.0 United States,
190,../../datasets/FMA_small/fma_small/fma_small/000/000190.mp3,Folk,training,small,249,Attribution-NonCommercial-ShareAlike 3.0 International,
193,../../datasets/FMA_small/fma_small/fma_small/000/000193.mp3,Folk,training,small,254,Attribution-NonCommercial-ShareAlike 3.0 International,
194,../../datasets/FMA_small/fma_small/fma_small/000/000194.mp3,Folk,training,small,192,Attribution-NonCommercial-ShareAlike 3.0 International,
197,../../datasets/FMA_small/fma_small/fma_small/000/000197.mp3,Folk,training,small,68,Attribution-NonCommercial-ShareAlike 3.0 International,
200,../../datasets/FMA_small/fma_small/fma_small/000/000200.mp3,Folk,training,small,194,Attribution-NonCommercial-ShareAlike 3.0 International,
203,../../datasets/FMA_small/fma_small/fma_small/000/000203.mp3,Folk,training,small,195,Attribution-NonCommercial-ShareAlike 3.0 International,
