note_id,path,split,instrument_family,instrument_source,pitch,velocity,sample_rate,license_status,notes
keyboard_acoustic_004-060-025,../../datasets/nsynth/nsynth-valid/audio/keyboard_acoustic_004-060-025.wav,valid,keyboard,acoustic,60,25,16000,nsynth_license,
bass_synthetic_033-050-100,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_033-050-100.wav,valid,bass,synthetic,50,100,16000,nsynth_license,
bass_synthetic_009-052-050,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_009-052-050.wav,valid,bass,synthetic,52,50,16000,nsynth_license,
keyboard_electronic_003-064-127,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_003-064-127.wav,valid,keyboard,electronic,64,127,16000,nsynth_license,
bass_synthetic_034-030-050,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_034-030-050.wav,valid,bass,synthetic,30,50,16000,nsynth_license,
bass_synthetic_098-040-025,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_098-040-025.wav,valid,bass,synthetic,40,25,16000,nsynth_license,
bass_synthetic_009-083-075,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_009-083-075.wav,valid,bass,synthetic,83,75,16000,nsynth_license,
mallet_acoustic_062-033-075,../../datasets/nsynth/nsynth-valid/audio/mallet_acoustic_062-033-075.wav,valid,mallet,acoustic,33,75,16000,nsynth_license,
organ_electronic_113-028-075,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_113-028-075.wav,valid,organ,electronic,28,75,16000,nsynth_license,
keyboard_electronic_098-072-100,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_098-072-100.wav,valid,keyboard,electronic,72,100,16000,nsynth_license,
organ_electronic_028-053-127,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_028-053-127.wav,valid,organ,electronic,53,127,16000,nsynth_license,
brass_acoustic_016-062-127,../../datasets/nsynth/nsynth-valid/audio/brass_acoustic_016-062-127.wav,valid,brass,acoustic,62,127,16000,nsynth_license,
keyboard_electronic_001-086-025,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_001-086-025.wav,valid,keyboard,electronic,86,25,16000,nsynth_license,
