case_id,source_case_id,path,sample_rate,duration_sec,policy,transform,detail
author_medieval_style_orch_seg000_gain_minus_6db,author_medieval_style_orch_seg000,output_audio/08_0/augmentations/author_medieval_style_orch_seg000_gain_minus_6db.wav,32000,8.0,loudness_robustness,gain_minus_6db,gain=-6 dB; useful when absolute playback level is not a conditioning target
author_medieval_style_orch_seg000_noise_24db_snr,author_medieval_style_orch_seg000,output_audio/08_0/augmentations/author_medieval_style_orch_seg000_noise_24db_snr.wav,32000,8.0,recording_robustness,noise_24db_snr,add broadband noise at about 24 dB SNR
author_medieval_style_orch_seg000_pitch_up_1st_time_stretch_0_97,author_medieval_style_orch_seg000,output_audio/08_0/augmentations/author_medieval_style_orch_seg000_pitch_up_1st_time_stretch_0_97.wav,32000,8.0,label_preserving_pitch_tempo,pitch_up_1st_time_stretch_0_97,pitch=+1 semitone and tempo rate=0.97; avoid when exact pitch or tempo is the label
author_medieval_style_orch_seg000_lowpass_12khz_noise_30db_snr,author_medieval_style_orch_seg000,output_audio/08_0/augmentations/author_medieval_style_orch_seg000_lowpass_12khz_noise_30db_snr.wav,32000,8.0,channel_codec_robustness,lowpass_12khz_noise_30db_snr,low-pass near 12 kHz and add about 30 dB SNR noise
author_medieval_style_orch_seg000_combo_pitch_tempo_gain_noise,author_medieval_style_orch_seg000,output_audio/08_0/augmentations/author_medieval_style_orch_seg000_combo_pitch_tempo_gain_noise.wav,32000,8.0,small_data_combo,combo_pitch_tempo_gain_noise,"pitch=-0.5 semitone, tempo rate=1.03, gain=-2 dB, noise about 28 dB SNR"
author_orchestra_0_seg000_gain_minus_6db,author_orchestra_0_seg000,output_audio/08_0/augmentations/author_orchestra_0_seg000_gain_minus_6db.wav,32000,8.0,loudness_robustness,gain_minus_6db,gain=-6 dB; useful when absolute playback level is not a conditioning target
author_orchestra_0_seg000_noise_24db_snr,author_orchestra_0_seg000,output_audio/08_0/augmentations/author_orchestra_0_seg000_noise_24db_snr.wav,32000,8.0,recording_robustness,noise_24db_snr,add broadband noise at about 24 dB SNR
author_orchestra_0_seg000_pitch_up_1st_time_stretch_0_97,author_orchestra_0_seg000,output_audio/08_0/augmentations/author_orchestra_0_seg000_pitch_up_1st_time_stretch_0_97.wav,32000,8.0,label_preserving_pitch_tempo,pitch_up_1st_time_stretch_0_97,pitch=+1 semitone and tempo rate=0.97; avoid when exact pitch or tempo is the label
author_orchestra_0_seg000_lowpass_12khz_noise_30db_snr,author_orchestra_0_seg000,output_audio/08_0/augmentations/author_orchestra_0_seg000_lowpass_12khz_noise_30db_snr.wav,32000,8.0,channel_codec_robustness,lowpass_12khz_noise_30db_snr,low-pass near 12 kHz and add about 30 dB SNR noise
author_orchestra_0_seg000_combo_pitch_tempo_gain_noise,author_orchestra_0_seg000,output_audio/08_0/augmentations/author_orchestra_0_seg000_combo_pitch_tempo_gain_noise.wav,32000,8.0,small_data_combo,combo_pitch_tempo_gain_noise,"pitch=-0.5 semitone, tempo rate=1.03, gain=-2 dB, noise about 28 dB SNR"
author_orchestra_1_seg000_gain_minus_6db,author_orchestra_1_seg000,output_audio/08_0/augmentations/author_orchestra_1_seg000_gain_minus_6db.wav,32000,8.0,loudness_robustness,gain_minus_6db,gain=-6 dB; useful when absolute playback level is not a conditioning target
author_orchestra_1_seg000_noise_24db_snr,author_orchestra_1_seg000,output_audio/08_0/augmentations/author_orchestra_1_seg000_noise_24db_snr.wav,32000,8.0,recording_robustness,noise_24db_snr,add broadband noise at about 24 dB SNR
author_orchestra_1_seg000_pitch_up_1st_time_stretch_0_97,author_orchestra_1_seg000,output_audio/08_0/augmentations/author_orchestra_1_seg000_pitch_up_1st_time_stretch_0_97.wav,32000,8.0,label_preserving_pitch_tempo,pitch_up_1st_time_stretch_0_97,pitch=+1 semitone and tempo rate=0.97; avoid when exact pitch or tempo is the label
author_orchestra_1_seg000_lowpass_12khz_noise_30db_snr,author_orchestra_1_seg000,output_audio/08_0/augmentations/author_orchestra_1_seg000_lowpass_12khz_noise_30db_snr.wav,32000,8.0,channel_codec_robustness,lowpass_12khz_noise_30db_snr,low-pass near 12 kHz and add about 30 dB SNR noise
author_orchestra_1_seg000_combo_pitch_tempo_gain_noise,author_orchestra_1_seg000,output_audio/08_0/augmentations/author_orchestra_1_seg000_combo_pitch_tempo_gain_noise.wav,32000,8.0,small_data_combo,combo_pitch_tempo_gain_noise,"pitch=-0.5 semitone, tempo rate=1.03, gain=-2 dB, noise about 28 dB SNR"
