song,version,轴,best,命中,best_cost,truth_cost
友谊地久天长,v0_original,原版,友谊地久天长,True,0.0,0.0
友谊地久天长,v1_timbre,音色,友谊地久天长,True,0.0388,0.0388
友谊地久天长,v2_key,调性,友谊地久天长,True,0.018,0.018
友谊地久天长,v3_tempo,速度,友谊地久天长,True,0.011,0.011
友谊地久天长,v4_texture_octave,织体(叠八度),友谊地久天长,True,0.01,0.01
友谊地久天长,v5_texture_reharm,织体(换和声),友谊地久天长,True,0.2078,0.2078
在那遥远的地方,v0_original,原版,在那遥远的地方,True,0.0,0.0
在那遥远的地方,v1_timbre,音色,在那遥远的地方,True,0.0231,0.0231
在那遥远的地方,v2_key,调性,在那遥远的地方,True,0.015,0.015
在那遥远的地方,v3_tempo,速度,在那遥远的地方,True,0.0174,0.0174
在那遥远的地方,v4_texture_octave,织体(叠八度),在那遥远的地方,True,0.0459,0.0459
在那遥远的地方,v5_texture_reharm,织体(换和声),在那遥远的地方,True,0.2036,0.2036
步步高,v0_original,原版,步步高,True,0.0,0.0
步步高,v1_timbre,音色,步步高,True,0.0564,0.0564
步步高,v2_key,调性,步步高,True,0.0349,0.0349
步步高,v3_tempo,速度,步步高,True,0.0427,0.0427
步步高,v4_texture_octave,织体(叠八度),步步高,True,0.0384,0.0384
步步高,v5_texture_reharm,织体(换和声),步步高,True,0.29,0.29
瑶族舞曲,v0_original,原版,瑶族舞曲,True,0.0,0.0
瑶族舞曲,v1_timbre,音色,瑶族舞曲,True,0.0336,0.0336
瑶族舞曲,v2_key,调性,瑶族舞曲,True,0.0284,0.0284
瑶族舞曲,v3_tempo,速度,瑶族舞曲,True,0.1178,0.1178
瑶族舞曲,v4_texture_octave,织体(叠八度),瑶族舞曲,True,0.0268,0.0268
瑶族舞曲,v5_texture_reharm,织体(换和声),瑶族舞曲,True,0.2158,0.2158
红沙拉帆,v0_original,原版,红沙拉帆,True,0.0,0.0
红沙拉帆,v1_timbre,音色,红沙拉帆,True,0.0271,0.0271
红沙拉帆,v2_key,调性,红沙拉帆,True,0.0187,0.0187
红沙拉帆,v3_tempo,速度,红沙拉帆,True,0.0036,0.0036
红沙拉帆,v4_texture_octave,织体(叠八度),红沙拉帆,True,0.0088,0.0088
红沙拉帆,v5_texture_reharm,织体(换和声),友谊地久天长,False,0.2764,0.2909
红河谷,v0_original,原版,红河谷,True,0.0,0.0
红河谷,v1_timbre,音色,红河谷,True,0.0178,0.0178
红河谷,v2_key,调性,红河谷,True,0.0079,0.0079
红河谷,v3_tempo,速度,红河谷,True,0.0048,0.0048
红河谷,v4_texture_octave,织体(叠八度),红河谷,True,0.0043,0.0043
红河谷,v5_texture_reharm,织体(换和声),友谊地久天长,False,0.2336,0.2844
苏武牧羊,v0_original,原版,苏武牧羊,True,0.0,0.0
苏武牧羊,v1_timbre,音色,苏武牧羊,True,0.0247,0.0247
苏武牧羊,v2_key,调性,苏武牧羊,True,0.021,0.021
苏武牧羊,v3_tempo,速度,苏武牧羊,True,0.0176,0.0176
苏武牧羊,v4_texture_octave,织体(叠八度),苏武牧羊,True,0.0142,0.0142
苏武牧羊,v5_texture_reharm,织体(换和声),友谊地久天长,False,0.1827,0.2318
茉莉花,v0_original,原版,茉莉花,True,0.0,0.0
茉莉花,v1_timbre,音色,茉莉花,True,0.0423,0.0423
茉莉花,v2_key,调性,茉莉花,True,0.0706,0.0706
茉莉花,v3_tempo,速度,茉莉花,True,0.0348,0.0348
茉莉花,v4_texture_octave,织体(叠八度),茉莉花,True,0.0076,0.0076
茉莉花,v5_texture_reharm,织体(换和声),红沙拉帆,False,0.198,0.2323
