clip_id,attribute,a fast erhu performance,a fast erhu performance 名次,a slow erhu performance,a slow erhu performance 名次,a solo erhu performance,a solo erhu performance 名次
ctis_huqin_erhu_000,,0.1119,139,0.0766,162,0.0808,149
ctis_huqin_erhu_001,,0.1854,85,0.2571,45,0.2341,46
ctis_huqin_erhu_002,,0.1026,143,0.1195,142,0.1004,131
ctis_huqin_erhu_003,,0.2117,56,0.2434,50,0.2427,42
ctis_huqin_erhu_004,,0.2406,30,0.1949,78,0.2207,55
ctis_huqin_erhu_005,,0.2041,64,0.1309,131,0.1654,93
ctis_huqin_erhu_006,,0.2331,36,0.1948,79,0.223,53
ctis_huqin_erhu_007,,0.0944,149,0.117,145,0.1111,124
ctis_huqin_erhu_fast_082,fast,0.2674,18,0.2489,47,0.2605,33
ctis_huqin_erhu_fast_083,fast,0.2059,61,0.1931,80,0.2134,61
ctis_huqin_erhu_slow_084,slow,0.195,73,0.1668,101,0.1701,88
ctis_huqin_erhu_slow_085,slow,0.2478,28,0.2257,61,0.2387,44
