,民0,民1,民2,民3,民4,流0,流1,流2,流3,流4,摇0,摇1,摇2,摇3,摇4,古0,古1,古2,古3,古4
民0,0.9999999999999897,0.9048740202266727,0.6505473663334937,0.6174064152744755,0.0,0.44128997507903867,0.3646031148549162,0.24016336665288116,0.14363696929191863,0.08536655898366964,0.0,0.0,0.0,0.0,0.0,0.0,0.1658576857725439,0.0,0.0,0.08705715001320015
民1,0.9048740202266727,0.9999999999999821,0.5749661560353536,0.5646183764340431,0.400891862868583,0.3106848830005952,0.24422640935816242,0.21896393648144563,0.10690449676496688,0.0,0.0,0.0,0.0,0.0,0.0,0.2566447165609287,0.2931763649279701,0.09723055853282309,0.0,0.05669467095138301
民2,0.6505473663334937,0.5749661560353536,0.999999999999987,0.3334384029445536,0.0,0.5264981264926494,0.4828543206847794,0.7156242163086158,0.452910813657828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
民3,0.6174064152744755,0.5646183764340431,0.3334384029445536,0.9999999999999837,0.0,0.14883984964324837,0.0,0.35965399945821963,0.30728851183894246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.620945867601832,0.0,0.0,0.3259286857530608
民4,0.0,0.400891862868583,0.0,0.0,0.9999999999989999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6401843996643979,0.46188021535164725,0.24253562503630355,0.0,0.0
流0,0.44128997507903867,0.3106848830005952,0.5264981264926494,0.14883984964324837,0.0,0.9999999999999866,0.8380243188510543,0.5442302798967112,0.6742363047141361,0.8060323502739384,0.12253577034896647,0.20186243025496245,0.090804920952899,0.038221988172245085,0.0,0.0,0.0,0.0,0.0,0.0
流1,0.3646031148549162,0.24422640935816242,0.4828543206847794,0.0,0.0,0.8380243188510543,0.9999999999999899,0.3327443839116018,0.3046038495400796,0.760337167998795,0.32108064953396437,0.5289404068557735,0.23793626071313984,0.10015312878740536,0.0,0.0,0.0,0.0,0.0,0.0
流2,0.24016336665288116,0.21896393648144563,0.7156242163086158,0.35965399945821963,0.0,0.5442302798967112,0.3327443839116018,0.9999999999999866,0.8895127186905715,0.259690989264474,0.06168610084979968,0.10162017339941828,0.04571237848023095,0.019241446072100755,0.0,0.0,0.0,0.0,0.0,0.0
流3,0.14363696929191863,0.10690449676496688,0.452910813657828,0.30728851183894246,0.0,0.6742363047141361,0.3046038495400796,0.8895127186905715,0.99999999999996,0.49923017660269237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
流4,0.08536655898366964,0.0,0.0,0.0,0.0,0.8060323502739384,0.760337167998795,0.259690989264474,0.49923017660269237,0.9999999999999809,0.29235267310233887,0.48161464130763876,0.21664744340223177,0.09119215051750858,0.0,0.0,0.0,0.0,0.0,0.0
摇0,0.0,0.0,0.0,0.0,0.0,0.12253577034896647,0.32108064953396437,0.06168610084979968,0.0,0.29235267310233887,0.9999999999999889,0.8759854036172107,0.4116934847963035,0.918446266007715,0.41105415366028436,0.0,0.03651483716701063,0.0,0.09999999999999831,0.0596284793999935
摇1,0.0,0.0,0.0,0.0,0.0,0.20186243025496245,0.5289404068557735,0.10162017339941828,0.0,0.48161464130763876,0.8759854036172107,0.9999999999999849,0.4036986754991079,0.632126727471781,0.18426137588194727,0.0,0.0,0.0,0.0,0.0
摇2,0.0,0.0,0.0,0.0,0.0,0.090804920952899,0.23793626071313984,0.04571237848023095,0.0,0.21664744340223177,0.4116934847963035,0.4036986754991079,0.9999999999999831,0.19262632611270866,0.8944925325049674,0.0,0.31569133176118336,0.0,0.8645563180722314,0.5155217860230515
摇3,0.0,0.0,0.0,0.0,0.0,0.038221988172245085,0.10015312878740536,0.019241446072100755,0.0,0.09119215051750858,0.918446266007715,0.632126727471781,0.19262632611270866,0.9999999999999731,0.366337506523587,0.0,0.0,0.0,0.0,0.0
摇4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41105415366028436,0.18426137588194727,0.8944925325049674,0.366337506523587,0.9999999999999657,0.0,0.3216337604513315,0.0,0.8808303292720292,0.5252257314388764
古0,0.0,0.2566447165609287,0.0,0.0,0.6401843996643979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999837,0.3843950608963722,0.9005516363645646,0.24293289905366988,0.5432144762551013
古1,0.1658576857725439,0.2931763649279701,0.0,0.620945867601832,0.46188021535164725,0.0,0.0,0.0,0.0,0.0,0.03651483716701063,0.0,0.31569133176118336,0.0,0.3216337604513315,0.3843950608963722,0.9999999999999866,0.22404481344447844,0.365148371670104,0.6205374015050615
古2,0.0,0.09723055853282309,0.0,0.0,0.24253562503630355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9005516363645646,0.22404481344447844,0.9999999999999853,0.30678599553894226,0.6859943405700236
古3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999831,0.0,0.8645563180722314,0.0,0.8808303292720292,0.24293289905366988,0.365148371670104,0.30678599553894226,0.9999999999999748,0.7602631123499114
古4,0.08705715001320015,0.05669467095138301,0.0,0.3259286857530608,0.0,0.0,0.0,0.0,0.0,0.0,0.0596284793999935,0.0,0.5155217860230515,0.0,0.5252257314388764,0.5432144762551013,0.6205374015050615,0.6859943405700236,0.7602631123499114,0.9999999999999798
