user,rank,song,genre,score
U0,1,流3,流行,10.513
U0,2,流4,流行,8.732
U0,3,民3,民歌,8.43
U1,1,流2,流行,6.649
U1,2,流1,流行,6.186
U1,3,古1,古典,5.57
U2,1,古4,古典,6.74
U2,2,民3,民歌,4.178
U2,3,民0,民歌,3.378
U3,1,民2,民歌,9.54
U3,2,摇1,摇滚,7.151
U3,3,民1,民歌,5.059
U4,1,摇4,摇滚,6.395
U4,2,流3,流行,6.063
U4,3,民2,民歌,4.666
U5,1,流1,流行,5.523
U5,2,流4,流行,5.029
U5,3,古3,古典,3.426
U6,1,古2,古典,5.257
U6,2,古0,古典,4.784
U6,3,摇1,摇滚,4.623
U7,1,民4,民歌,6.243
U7,2,摇4,摇滚,4.709
U7,3,摇2,摇滚,4.622
U8,1,古3,古典,4.837
U8,2,古0,古典,4.577
U8,3,民2,民歌,3.877
U9,1,流1,流行,8.58
U9,2,流4,流行,5.772
U9,3,古1,古典,2.322
