"survey_audio_id","dataset","audio_file_path","survey_start_second","survey_end_second"
"1_1","magnatagatune","b/jacob_heringman-jane_pickeringes_lute_book-11-mall_symes-349-378.mp3","4","24"
"1_2","magnatagatune","4/norine_braun-modern_anguish-11-love_and_not_fear-117-146.mp3","4","24"
"1_3","magnatagatune","5/nova_express-gimme_some-01-im_alive-0-29.mp3","4","24"
"1_4","magnatagatune","6/tom_paul-i_was_king-06-i_was_king-0-29.mp3","4","24"
"1_5","magnatagatune","e/briddes_roune-lenten_is_come-04-the_milde_lomb-59-88.mp3","4","24"
"1_6","magnatagatune","c/richard_savino-legrenzi__venice_before_vivaldi-08-balleta_quinto-0-29.mp3","4","24"
"1_7","magnatagatune","d/beth_quist-shall_we_dance-03-air_chair-349-378.mp3","4","24"
"1_8","magnatagatune","4/dj_markitos-evolution_of_the_mind-01-sunset_endless_night_journey_remix-175-204.mp3","4","24"
"1_9","magnatagatune","b/music_of_the_spheres-the_fantastics-06-rossi_toccata_vii-88-117.mp3","4","24"
"1_10","magnatagatune","2/aba_structure-tektonik_illusion-01-terra-378-407.mp3","4","24"
"1_11","magnatagatune","c/atomic_opera-alpha_and_oranges-10-let_go-88-117.mp3","4","24"
"1_12","magnatagatune","e/heavy_mellow-horizons-12-open_sea-204-233.mp3","4","24"
"1_13","magnatagatune","4/mutandina-mutandina-09-caminos-0-29.mp3","4","24"
"1_14","magnatagatune","d/ambient_teknology-the_all_seeing_eye_project-07-telekonology-233-262.mp3","4","24"
"1_15","magnatagatune","9/etherine-gleam-06-leaving_ground-175-204.mp3","4","24"
"1_16","magnatagatune","5/paul_avgerinos-muse_of_the_round_sky-03-the_lotus_eaters-204-233.mp3","4","24"
"1_17","magnatagatune","a/ensemble_sreteniye-ancient_church_singing_of_byzantine_georgia_and_rus-08-fragment_from_the_divine_liturgy_strochnoy_chant-59-88.mp3","4","24"
"1_18","magnatagatune","4/dj_cary-downtempo_chill_2-09-georgia_wicked_allstars-117-146.mp3","4","24"
"1_19","magnatagatune","a/falling_you-human-06-varenka-175-204.mp3","4","24"
"1_20","magnatagatune","f/lizzi-love_and_you_and_i-09-my_destination-117-146.mp3","4","24"
"1_21","magnatagatune","9/suzanne_teng-enchanted_wind-07-light_of_the_heart-59-88.mp3","4","24"
"1_22","magnatagatune","5/rapoon-fallen_gods-03-fallen_gods-610-639.mp3","4","24"
"1_23","magnatagatune","4/monks_and_choirs_of_kiev_pechersk_lavra-chants_of_the_russian_orthodox_church-26-god_with_us_kievpechersk_chant-204-233.mp3","4","24"
"1_24","magnatagatune","2/drop_trio-big_dipper-07-wet_dog-175-204.mp3","4","24"
"1_25","magnatagatune","f/chris_juergensen-big_bad_sun-04-house_on_the_hill-30-59.mp3","4","24"
"1_26","magnatagatune","e/dac_crowell-within_this_space-02-within_this_space-262-291.mp3","4","24"
"1_27","magnatagatune","b/cargo_cult-alchemy-02-alchemy-175-204.mp3","4","24"
"1_28","magnatagatune","e/tilopa-out_of_the_blue-02-chinese_princess-175-204.mp3","4","24"
"1_29","magnatagatune","b/magnatune_compilation-rock-05-tom_paul_before_you_know_it-117-146.mp3","4","24"
"1_30","magnatagatune","6/sand_craig_and_dornenburg-biber_violin_sonatas-03-biber_rosary_sonata_1_in_d_minor_the_annunciation-117-146.mp3","4","24"
"1_31","magnatagatune","5/arthur_yoria-suerte_something-08-goodbye_marisa-146-175.mp3","4","24"
"1_32","magnatagatune","5/domased-selection-02-drunk_warrior-146-175.mp3","4","24"
"1_33","magnatagatune","d/paul_avgerinos-balancing_spheres-05-day_dreams__and_thirst_is_quenched-291-320.mp3","4","24"
