"audio_pair","overall_music_similarity","cultural_similarity","recommendation_level","overall_music_similarity_annotations","cultural_similarity_annotations","recommendation_level_annotations","num_annotators"
"1_1-1_2","0.12","0.12","0.00","[2.0, 1.0]","[2.0, 1.0]","[1.0, 1.0]","2"
"1_1-2_19","0.12","0.12","0.12","[1.5, 2.0, 1.0]","[2.5, 1.0, 1.0]","[2.5, 1.0, 1.0]","3"
"1_1-2_26","0.29","0.21","0.33","[3.5, 1.0, 2.0]","[2.5, 1.0, 2.0]","[3.5, 1.0, 2.5]","3"
"1_1-3_2","0.75","0.62","0.75","[4.0, 4.0]","[3.0, 4.0]","[4.0, 4.0]","2"
"1_1-3_51","0.34","0.25","0.44","[1.0, 2.5, 3.0, 3.0]","[1.0, 2.0, 4.0, 1.0]","[1.0, 2.0, 4.0, 4.0]","4"
"1_1-4_13","0.12","0.05","0.03","[2.0, 1.0, 1.5, 2.0, 1.0]","[1.0, 1.0, 1.5, 1.5, 1.0]","[1.0, 1.0, 1.0, 1.5, 1.0]","5"
"1_1-4_8","0.25","0.25","0.25","[2.0]","[2.0]","[2.0]","1"
"1_1-5_34","0.25","0.00","0.50","[2.0]","[1.0]","[3.0]","1"
"1_1-6_24","0.75","0.00","0.25","[4.0]","[1.0]","[2.0]","1"
"1_1-6_53","0.12","0.25","0.12","[1.5]","[2.0]","[1.5]","1"
"1_1-7_1","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_1-7_32","0.31","0.19","0.12","[2.0, 2.5]","[2.0, 1.5]","[2.0, 1.0]","2"
"1_1-8_15","0.12","0.06","0.31","[1.0, 2.0]","[1.0, 1.5]","[1.0, 3.5]","2"
"1_1-9_8","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_10-3_10","0.50","0.12","0.62","[3.0]","[1.5]","[3.5]","1"
"1_10-4_20","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_10-5_2","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_10-6_1","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
