"audio_pair","overall_music_similarity","cultural_similarity","recommendation_level","overall_music_similarity_annotations","cultural_similarity_annotations","recommendation_level_annotations","num_annotators"
"1_1-1_2","0.26","0.26","0.12","[0.534, 0.0]","[0.534, 0.0]","[0.249, 0.0]","2"
"1_1-2_19","0.21","0.21","0.21","[0.151, 0.466, 0.006]","[0.437, 0.18, 0.006]","[0.437, 0.18, 0.006]","3"
"1_1-2_26","0.30","0.20","0.35","[0.649, 0.134, 0.114]","[0.363, 0.134, 0.114]","[0.649, 0.134, 0.257]","3"
"1_1-3_2","0.82","0.67","0.82","[0.866, 0.766]","[0.58, 0.766]","[0.866, 0.766]","2"
"1_1-3_51","0.42","0.31","0.53","[0.171, 0.523, 0.449, 0.534]","[0.171, 0.38, 0.734, 0.0]","[0.171, 0.38, 0.734, 0.82]","4"
"1_1-4_13","0.33","0.24","0.21","[0.477, 0.209, 0.351, 0.471, 0.123]","[0.191, 0.209, 0.351, 0.329, 0.123]","[0.191, 0.209, 0.209, 0.329, 0.123]","5"
"1_1-4_8","0.35","0.35","0.35","[0.351]","[0.351]","[0.351]","1"
"1_1-5_34","0.32","0.04","0.61","[0.323]","[0.037]","[0.609]","1"
"1_1-6_24","0.83","0.00","0.26","[0.829]","[0.0]","[0.257]","1"
"1_1-6_53","0.18","0.32","0.18","[0.18]","[0.323]","[0.18]","1"
"1_1-7_1","0.33","0.33","0.33","[0.329]","[0.329]","[0.329]","1"
"1_1-7_32","0.45","0.31","0.24","[0.18, 0.723]","[0.18, 0.437]","[0.18, 0.294]","2"
"1_1-8_15","0.13","0.05","0.34","[0.051, 0.2]","[0.051, 0.057]","[0.051, 0.629]","2"
"1_1-9_8","0.18","0.18","0.18","[0.177]","[0.177]","[0.177]","1"
"1_10-3_10","0.57","0.14","0.71","[0.571]","[0.143]","[0.714]","1"
"1_10-4_20","0.14","0.14","0.14","[0.143]","[0.143]","[0.143]","1"
"1_10-5_2","0.01","0.01","0.01","[0.006]","[0.006]","[0.006]","1"
"1_10-6_1","0.12","0.12","0.12","[0.12]","[0.12]","[0.12]","1"
"1_10-6_9","0.04","0.04","0.04","[0.043]","[0.043]","[0.043]","1"
"1_10-7_21","0.22","0.08","0.08","[0.223]","[0.08]","[0.08]","1"
"1_10-7_26","0.18","0.18","0.18","[0.18]","[0.18]","[0.18]","1"
"1_11-3_17","0.14","0.14","0.14","[0.143]","[0.143]","[0.143]","1"
"1_11-3_21","0.34","0.49","0.63","[0.343]","[0.486]","[0.629]","1"
"1_11-5_50","0.09","0.09","0.23","[0.091]","[0.091]","[0.234]","1"
"1_11-8_28","0.20","0.20","0.20","[0.2]","[0.2]","[0.2]","1"
"1_11-9_35","0.17","0.03","0.03","[0.171]","[0.029]","[0.029]","1"
"1_12-2_17","0.95","0.95","0.66","[0.949]","[0.949]","[0.663]","1"
"1_12-2_51","0.58","1.00","0.72","[0.58]","[1.0]","[0.723]","1"
"1_12-7_39","0.52","0.23","0.23","[0.52]","[0.234]","[0.234]","1"
"1_12-9_15","0.23","0.37","0.23","[0.229]","[0.371]","[0.229]","1"
"1_13-3_41","0.71","1.00","0.57","[0.714]","[1.0]","[0.571]","1"
"1_13-4_46","0.27","0.41","0.27","[0.266]","[0.409]","[0.266]","1"
"1_13-5_41","0.32","0.89","0.04","[0.323]","[0.894]","[0.037]","1"
"1_13-5_46","0.28","0.28","0.14","[0.28]","[0.28]","[0.137]","1"
"1_13-5_54","0.22","0.22","0.08","[0.223]","[0.223]","[0.08]","1"
"1_13-6_29","0.01","0.00","0.00","[0.014]","[0.0]","[0.0]","1"
"1_13-6_32","0.05","0.05","0.05","[0.051]","[0.051]","[0.051]","1"
"1_14-2_50","0.12","0.26","0.12","[0.12]","[0.263]","[0.12]","1"
"1_14-4_20","0.14","0.14","0.14","[0.143]","[0.143]","[0.143]","1"
"1_14-6_27","0.08","0.08","0.08","[0.08]","[0.08]","[0.08]","1"
"1_14-7_35","0.18","0.04","0.04","[0.18]","[0.037]","[0.037]","1"
"1_14-8_16","0.03","0.03","0.18","[0.034]","[0.034]","[0.177]","1"
"1_14-8_26","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"1_15-1_45","0.77","0.20","0.20","[0.771]","[0.2]","[0.2]","1"
"1_15-4_40","0.15","0.15","0.15","[0.151]","[0.151]","[0.151]","1"
"1_15-8_13","0.42","0.14","0.28","[0.423]","[0.137]","[0.28]","1"
"1_15-9_5","0.35","0.35","0.35","[0.351]","[0.351]","[0.351]","1"
"1_16-8_36","0.53","0.39","0.11","[0.534]","[0.391]","[0.106]","1"
"1_16-8_40","0.04","0.04","0.04","[0.037]","[0.037]","[0.037]","1"
"1_18-5_29","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"1_18-5_31","0.27","0.56","0.41","[0.271]","[0.557]","[0.414]","1"
"1_18-6_36","0.15","0.15","0.15","[0.151]","[0.151]","[0.151]","1"
"1_19-2_2","0.29","0.71","0.43","[0.286]","[0.714]","[0.429]","1"
"1_19-3_15","0.25","0.25","0.25","[0.249]","[0.249]","[0.249]","1"
"1_19-3_26","0.34","0.19","0.34","[0.337]","[0.194]","[0.337]","1"
"1_19-3_43","0.41","0.56","0.56","[0.414]","[0.557]","[0.557]","1"
"1_19-5_29","0.03","0.18","0.18","[0.034]","[0.177]","[0.177]","1"
"1_19-6_3","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"1_19-9_31","0.22","0.22","0.22","[0.22]","[0.22]","[0.22]","1"
"1_2-2_26","0.64","0.83","0.92","[0.771, 0.723, 0.42]","[1.0, 1.0, 0.277]","[0.914, 0.866, 0.991]","3"
"1_2-3_2","0.58","0.72","0.44","[0.58]","[0.723]","[0.437]","1"
"1_2-3_51","0.63","0.49","0.60","[0.751, 0.423, 0.7, 0.651]","[0.466, 0.28, 0.414, 0.794]","[0.466, 0.423, 1.0, 0.366]","4"
"1_2-4_13","0.42","0.28","0.13","[0.42]","[0.277]","[0.134]","1"
"1_2-4_8","0.43","0.14","0.43","[0.429]","[0.143]","[0.429]","1"
"1_2-5_22","0.04","0.04","0.04","[0.043]","[0.043]","[0.043]","1"
"1_2-5_34","0.52","0.45","0.52","[0.32, 0.729]","[0.034, 0.871]","[0.177, 0.871]","2"
