source_id,kind,relative_path,source_url,accessed_at,version_or_date,license,sha256,hash_type,notes
ch6_traditional,local_result,../chapter06/traditional_ml/outputs/method_comparison.csv,,,repository state,project-local,3dffe470be9d95e917c9d02fa2b1a999df7e0ecce81ce9bdae58679cb0ac2b4e,file_sha256,Existing chapter 6 output; no retraining.
ch6_simple_cnn,local_result,../chapter06/simple_cnn/outputs/method_comparison.csv,,,repository state,project-local,0d32b477e8fe5bb23a958893a9f53503b8839e8d185c35c07ba76e5262ad8a38,file_sha256,Existing chapter 6 output; no retraining.
ch6_pretrained_cnn,local_result,../chapter06/pretrained_cnn/outputs/method_comparison.csv,,,repository state,project-local,b5c7b1c47633abe7fead8eddcb9ad5c56a03127c0300f302dc96e8a75d4b663d,file_sha256,Existing chapter 6 output; no retraining.
ch6_ast,local_result,../chapter06/pretrained_transformer/outputs/ast_method_comparison.csv,,,repository state,project-local,76bf072b91b2d0844329e2e2578f9854b90b0af5cd4094283eec944b52239c71,file_sha256,Existing chapter 6 output; no retraining.
ccmsim_responses,repository_snapshot,data_snapshots/ccmsim/responses,https://github.com/pxaris/CCMSim/tree/197d61738e79fc5bbe20891d54be4aed88e89e4b/data/annotations/responses,2026-08-05,commit 197d61738e79fc5bbe20891d54be4aed88e89e4b,CC BY 4.0,347e4c25f1ec1bfb294db21aa0dedaa79dc8045e3c9d04a060c75c11f1c3648f,response_manifest_sha256,Exactly 125 anonymous response JSON files.
ccmsim_report,repository_snapshot,data_snapshots/ccmsim/user_study_comprehensive_report.txt,https://github.com/pxaris/CCMSim/blob/197d61738e79fc5bbe20891d54be4aed88e89e4b/report/user_study/user_study_comprehensive_report.txt,2026-08-05,commit 197d61738e79fc5bbe20891d54be4aed88e89e4b,CC BY 4.0,971660404f46622d5eec0e34b382c7555e10aa38fcbe70a8513100449c785da9,file_sha256,Used only to cross-check participant and country counts.
ccmsim_license_data,repository_snapshot,data_snapshots/ccmsim/LICENSE-DATA,https://github.com/pxaris/CCMSim/blob/197d61738e79fc5bbe20891d54be4aed88e89e4b/LICENSE-DATA,2026-08-05,commit 197d61738e79fc5bbe20891d54be4aed88e89e4b,CC BY 4.0,b9fee543339824d467b04823b54779444154bdd00f85f8860d0b70ab083e51d3,file_sha256,License for everything under data/annotations.
ccmsim_license_code,repository_snapshot,data_snapshots/ccmsim/LICENSE,https://github.com/pxaris/CCMSim/blob/197d61738e79fc5bbe20891d54be4aed88e89e4b/LICENSE,2026-08-05,commit 197d61738e79fc5bbe20891d54be4aed88e89e4b,MIT,1a07b6e4d482e70539e2a67f71f150d4f4eb15c9622169d1995efd93c883187d,file_sha256,Code license; distinct from annotation license.
ccmsim_table6,manual_table_snapshot,data_snapshots/ccmsim/separation_ratios_table6.csv,https://transactions.ismir.net/articles/10.5334/tismir.341,2026-08-05,TISMIR 9(1) Table 6,CC BY 4.0,9a8a081366fffd7dcf02b4c38a82bc3875fc673396667d28b3d2d8a460dfbcc8,file_sha256,Two values transcribed from the Annotated Pairs column: human cultural 2.361 and Qwen2-Audio 1.579.
mirex_page_status,derived_snapshot,data_snapshots/mirex/page_status.csv,https://music-ir.org/mirex/wiki/,2026-08-05,2020-2025 audit,not applicable,2071a4fd07d5b0002ff83404f9ecc5ac63a68acc88a53e8dd20508b1be7d932b,file_sha256,Records page presence only; absence in 2022-2023 is not treated as proof of complete activity status.
covers80_facts_extracted,derived_extract,data_snapshots/covers80/covers80_facts_extracted.csv,http://labrosa.ee.columbia.edu/projects/coversongs/covers80/,2026-08-05,page last updated 2007-02-06,factual extraction; page license not stated,015f48df62cd41b633ec58d2dff41d1ceeaa00474dd544c66fc8564c6772407d,file_sha256,9 项事实与证据行，自官方页面提取并逐项核对原文；原始 HTML 快照 sha256 09ca24269e1570e495730e653a72faf8583c81e8840dd910ff41031dd2700937 仅存私有仓库，不随包分发
mirex_tasks_extracted,derived_extract,data_snapshots/mirex/mirex_tasks_extracted.csv,https://music-ir.org/mirex/wiki/ (2020/2021/2024/2025 Main_Page),2026-08-05,wiki pages as of access date,factual extraction (task names); page license not stated,e0504503384fe5b00478710c0fba2e20850241a829e5d06f30c3e959c8836db0,file_sha256,任务名等事实行，自四个年份官方主页面解析提取；原始 .wiki 快照 sha256：2020=2628d7db1a56cdd20360c1e498d016f4136b662bee9b445afb282d19c529bca7，2021=400b78efc2aae5905b9ee794b3651e09fb66c3876f08cdc45a09dd6ead60cf72，2024=4994288533160bd27219cfffdf7e1f517a5b15bf0675f3142e53567123618bdd，2025=5781d31bb3388305d9e4747fb86e6d485449333445d8498ca81a1372e41dc831（仅存私有仓库，不随包分发）
