family,method,order_in_family,internal_accuracy_mean,internal_accuracy_std,external_accuracy_mean,external_accuracy_std,accuracy_gap_reported,accuracy_gap_from_displayed_means,accuracy_gap_rounding_delta,internal_macro_f1_mean,internal_macro_f1_std,external_macro_f1_mean,external_macro_f1_std,macro_f1_gap,source_id
传统机器学习,SVM 基线,1,0.981,0.002,0.226,0.018,0.755,0.755,0.0,0.978,0.008,0.092,0.004,0.886,ch6_traditional
传统机器学习,随机森林,2,0.955,0.035,0.33,0.052,0.626,0.625,0.001,0.965,0.023,0.284,0.035,0.681,ch6_traditional
传统机器学习,XGBoost,3,0.977,0.006,0.321,0.02,0.656,0.656,0.0,0.976,0.008,0.257,0.021,0.719,ch6_traditional
传统机器学习,软投票（RF + XGB）,4,0.98,0.007,0.327,0.029,0.652,0.653,-0.001,0.98,0.008,0.261,0.026,0.719,ch6_traditional
简单 CNN,CNN · 无增强,1,0.987,0.006,0.357,0.015,0.63,0.63,0.0,0.973,0.015,0.266,0.025,0.707,ch6_simple_cnn
简单 CNN,CNN · 全套增强,2,0.99,0.005,0.377,0.062,0.613,0.613,0.0,0.99,0.006,0.322,0.065,0.668,ch6_simple_cnn
预训练 CNN14,CNN14 · Feature Extraction,1,0.942,0.022,0.769,0.029,0.173,0.173,0.0,0.942,0.02,0.751,0.029,0.191,ch6_pretrained_cnn
预训练 CNN14,CNN14 · Full Fine-tune,2,0.149,0.008,0.195,0.008,-0.046,-0.046,0.0,0.059,0.007,0.071,0.013,-0.012,ch6_pretrained_cnn
预训练 CNN14,CNN14 · Layer-wise LR,3,0.782,0.023,0.255,0.034,0.527,0.527,0.0,0.74,0.006,0.205,0.055,0.535,ch6_pretrained_cnn
AST,AST · Feature Extraction,1,0.989,0.007,0.754,0.034,0.236,0.235,0.001,0.99,0.006,0.714,0.045,0.276,ch6_ast
AST,AST · LoRA (best val),2,0.989,0.01,0.833,0.01,0.156,0.156,0.0,0.99,0.01,0.818,0.011,0.172,ch6_ast
AST,AST · Full Fine-tune (best val),3,0.99,0.011,0.88,0.015,0.111,0.11,0.001,0.991,0.01,0.873,0.02,0.118,ch6_ast
